Umur(Bulan);BB_-3SD;BB_-2SD;BB_-1SD;Median;BB_+1;BB_+2;BB_+3
0;2.1;2.5;2.9;3.3;3.9;4.4;5.0
1;2.9;3.4;3.9;4.5;5.1;5.8;6.6
2;3.8;4.3;4.9;5.6;6.3;7.1;8.0
3;4.4;5.0;5.7;6.4;7.2;8.0;9.0
4;4.9;5.6;6.2;7.0;7.8;8.7;9.7
5;5.3;6.0;6.7;7.5;8.4;9.3;10.4
6;5.7;6.4;7.1;7.9;8.8;9.8;10.9
7;;;;;;;
8;;;;;;;
9;;;;;;;
10;;;;;;;
11;;;;;;;
12;;;;;;;
13;;;;;;;
14;;;;;;;
15;;;;;;;
16;;;;;;;
17;;;;;;;
18;;;;;;;
19;;;;;;;
20;;;;;;;
21;;;;;;;
22;;;;;;;
23;;;;;;;
24;;;;;;;
25;;;;;;;
26;;;;;;;
27;;;;;;;
28;;;;;;;
29;;;;;;;
30;;;;;;;
31;;;;;;;
32;;;;;;;
33;;;;;;;
34;;;;;;;
35;;;;;;;
36;;;;;;;
37;;;;;;;
38;;;;;;;
39;;;;;;;
40;;;;;;;
41;;;;;;;
42;;;;;;;
43;;;;;;;
44;;;;;;;
45;;;;;;;
46;;;;;;;
47;;;;;;;
48;;;;;;;
49;;;;;;;
50;;;;;;;
51;;;;;;;
52;;;;;;;
53;;;;;;;
54;;;;;;;
55;;;;;;;
56;;;;;;;
57;;;;;;;
58;;;;;;;
59;;;;;;;
60;;;;;;;
